#Organism Name,Strain,Assembly,Level,Size(Mb),GC%,Replicons,GenBank FTP,RefSeq FTP
"Escherichia coli","4/2-1","GCA_003856575.1","Complete",4.92847,50.7536,"chromosome:NZ_CP023834.1/CP023834.1; plasmid p4_2_1.1:NZ_CP023835.1/CP023835.1; plasmid p4_2_1.2:NZ_CP023836.1/CP023836.1; plasmid p4_2_1.3:NZ_CP023837.1/CP023837.1; plasmid p4_2_1.4:NZ_CP023838.1/CP023838.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/856/575/GCA_003856575.1_ASM385657v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/856/575/GCF_003856575.1_ASM385657v1"
"Salmonella enterica subsp. houtenae serovar Houten","NCTC10401","GCA_900478215.1","Complete",4.62461,51.8,"chromosome 1:NZ_LS483478.1/LS483478.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/215/GCA_900478215.1_47328_E01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/215/GCF_900478215.1_47328_E01"
"Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. CDC1983-67","CDC1983-67","GCA_000462995.1","Complete",4.62309,52.2,"chromosome:NC_022221.1/CP003786.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/462/995/GCA_000462995.1_ASM46299v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/462/995/GCF_000462995.1_ASM46299v1"
"Escherichia coli","H14","GCA_001900885.1","Complete",4.73549,50.8,"chromosome:NZ_CP010177.1/CP010177.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/900/885/GCA_001900885.1_ASM190088v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/900/885/GCF_001900885.1_ASM190088v1"
"Escherichia coli","YPE12","GCA_008807155.1","Complete",5.07019,50.6696,"chromosome:NZ_CP041442.1/CP041442.1; plasmid pYPE12-101k-tetX4:NZ_CP041443.1/CP041443.1; plasmid pYPE12-106k:NZ_CP041439.1/CP041439.1; plasmid pYPE12-122k:NZ_CP041441.1/CP041441.1; plasmid pYPE12-Col:NZ_CP041440.1/CP041440.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/807/155/GCA_008807155.1_ASM880715v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/807/155/GCF_008807155.1_ASM880715v1"
"Salmonella enterica subsp. enterica","USDA-ARS-USMARC-60984","GCA_004328825.1","Complete",4.88878,51.9293,"chromosome:NZ_CP025276.1/CP025276.1; plasmid pSJO-60984:NZ_CP025277.1/CP025277.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/328/825/GCA_004328825.1_ASM432882v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/328/825/GCF_004328825.1_ASM432882v1"
"Salmonella enterica subsp. enterica serovar Montevideo","FCC0123","GCA_005576575.1","Complete",4.61953,52.3,"NZ_CP040379.1/CP040379.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/576/575/GCA_005576575.1_ASM557657v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/576/575/GCF_005576575.1_ASM557657v1"
"Escherichia coli","1916D6","GCA_009671085.1","Complete",4.867,50.6708,"chromosome:NZ_CP046003.1/CP046003.1; plasmid p1916D6-1:NZ_CP046001.1/CP046001.1; plasmid p1916D6-2:NZ_CP046002.1/CP046002.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/671/085/GCA_009671085.1_ASM967108v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/671/085/GCF_009671085.1_ASM967108v1"
"Escherichia coli","LD91-1","GCA_007995175.1","Complete",5.20291,50.5013,"chromosome:NZ_CP042585.1/CP042585.1; plasmid pLD91-1-146kb:NZ_CP042586.1/CP042586.1; plasmid pLD91-1-76kb:NZ_CP042584.1/CP042584.1; plasmid pLD91-1-MCR1:NZ_CP042587.1/CP042587.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/995/175/GCA_007995175.1_ASM799517v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/995/175/GCF_007995175.1_ASM799517v1"
"Salmonella enterica subsp. enterica serovar Typhi","E98_3139-sc-1927833","GCA_900205295.1","Complete",4.61875,52.2,"chromosome 1:NZ_LT905143.1/LT905143.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/205/295/GCA_900205295.1_E98-3139","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/205/295/GCF_900205295.1_E98-3139"
"Salmonella enterica subsp. enterica serovar Hillingdon str. N1529-D3","N1529-D3","GCA_001975385.1","Complete",4.61806,52.2,"chromosome:NZ_CP019410.1/CP019410.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/975/385/GCA_001975385.1_ASM197538v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/385/GCF_001975385.1_ASM197538v1"
"Escherichia coli","F5656C1","GCA_002741335.1","Complete",4.89858,50.6129,"chromosome:NZ_CP024260.1/CP024260.1; plasmid unnamed1:NZ_CP024261.1/CP024261.1; plasmid unnamed2:NZ_CP024262.1/CP024262.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/741/335/GCA_002741335.1_ASM274133v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/741/335/GCF_002741335.1_ASM274133v1"
"Escherichia coli","S21","GCA_001900925.1","Complete",4.73362,50.8,"chromosome:NZ_CP010230.1/CP010230.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/900/925/GCA_001900925.1_ASM190092v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/900/925/GCF_001900925.1_ASM190092v1"
"Salmonella enterica","CFSAN005645","GCA_005576595.1","Complete",4.61519,52.3,"NZ_CP040380.1/CP040380.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/576/595/GCA_005576595.1_ASM557659v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/576/595/GCF_005576595.1_ASM557659v1"
"Salmonella enterica subsp. enterica serovar Paratyphi A","CMCC 50503","GCA_000818115.1","Complete",4.61237,52.1,"chromosome:NZ_CP009559.1/CP009559.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/818/115/GCA_000818115.1_ASM81811v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/818/115/GCF_000818115.1_ASM81811v1"
"Escherichia coli","Es_ST2350_SE1_NDM_03_2018","GCA_003355175.1","Complete",4.89134,50.769,"chromosome:NZ_CP031321.1/CP031321.1; plasmid pEsST2350_SE_2:NZ_CP031323.1/CP031323.1; plasmid pEsST2350_SE_NDM:NZ_CP031322.1/CP031322.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/355/175/GCA_003355175.1_ASM335517v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/355/175/GCF_003355175.1_ASM335517v1"
"Escherichia coli","NCTC5934","GCA_900635895.1","Complete",4.73193,50.7,"chromosome 1:NZ_LR134191.1/LR134191.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/895/GCA_900635895.1_35910_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/895/GCF_900635895.1_35910_C01"
"Salmonella enterica","FDA00009424","GCA_004354225.1","Complete",4.61118,52.2,"chromosome:NZ_CP037891.1/CP037891.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/354/225/GCA_004354225.1_ASM435422v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/354/225/GCF_004354225.1_ASM435422v1"
"Salmonella enterica subsp. enterica","NCTC9684","GCA_900636165.1","Complete",4.61092,52.3,"chromosome 1:NZ_LR134233.1/LR134233.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/165/GCA_900636165.1_39130_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/165/GCF_900636165.1_39130_C01"
"Escherichia coli","H1827/12","GCA_001678925.1","Complete",4.73149,50.8,"chromosome:NZ_CP013031.1/CP013031.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/678/925/GCA_001678925.1_ASM167892v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/678/925/GCF_001678925.1_ASM167892v1"
"Escherichia coli","Combat13F7","GCA_002951695.1","Complete",5.08545,50.6735,"chromosome:NZ_CP019245.1/CP019245.1; plasmid pCombat13F7-1:NZ_CP019246.1/CP019246.1; plasmid pCombat13F7-2:NZ_CP019247.1/CP019247.1; plasmid pCombat13F7-3:NZ_CP019248.1/CP019248.1; plasmid pCombat13F7-4:NZ_CP019249.1/CP019249.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/951/695/GCA_002951695.1_ASM295169v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/951/695/GCF_002951695.1_ASM295169v1"
"Salmonella enterica subsp. enterica serovar Gallinarum str. 9184","9184","GCA_000335995.2","Complete",4.60991,52.2,"chromosome:NZ_CP019035.1/CP019035.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/335/995/GCA_000335995.2_ASM33599v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/335/995/GCF_000335995.2_ASM33599v2"
"Salmonella enterica","SA20043041","GCA_003324995.1","Complete",4.6912,52.3497,"chromosome:NZ_CP030231.1/CP030231.1; plasmid pSA20043041.1:NZ_CP030232.1/CP030232.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/324/995/GCA_003324995.1_ASM332499v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/324/995/GCF_003324995.1_ASM332499v1"
"Escherichia coli","FORC_082","GCA_004135855.1","Complete",5.14569,50.3533,"chromosome:NZ_CP026641.1/CP026641.1; plasmid pFORC82_1:NZ_CP026642.1/CP026642.1; plasmid pFORC82_2:NZ_CP026643.1/CP026643.1; plasmid pFORC82_3:NZ_CP026644.1/CP026644.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/135/855/GCA_004135855.1_ASM413585v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/855/GCF_004135855.1_ASM413585v1"
"Escherichia coli","PK6","GCA_008823185.1","Complete",4.78913,50.7634,"chromosome:NZ_CP042588.1/CP042588.1; plasmid pRHEcCUB-1:NZ_CP042589.1/CP042589.1; plasmid pRHEcCUB-2:NZ_CP042590.1/CP042590.1; plasmid pRHEcCUB-3:NZ_CP042591.1/CP042591.1; plasmid pRHEcCUB-4:NZ_CP042592.1/CP042592.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/823/185/GCA_008823185.1_ASM882318v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/823/185/GCF_008823185.1_ASM882318v1"
"Salmonella enterica subsp. enterica serovar Bredeney str. CFSAN001080","CFSAN001080","GCA_000487775.2","Complete",4.60385,52.3,"chromosome:NZ_CP007533.1/CP007533.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/487/775/GCA_000487775.2_ASM48777v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/487/775/GCF_000487775.1_ASM48777v2"
"Salmonella enterica subsp. enterica serovar Cerro","87","GCA_001941405.1","Complete",4.60244,52.3,"chromosome:NZ_CP008925.1/CP008925.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/941/405/GCA_001941405.1_ASM194140v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/405/GCF_001941405.1_ASM194140v1"
"Escherichia coli","13P484A","GCA_002951735.1","Complete",5.1296,50.7101,"chromosome:NZ_CP019280.1/CP019280.1; plasmid p13P484A-1:NZ_CP019281.1/CP019281.1; plasmid p13P484A-2:NZ_CP019282.1/CP019282.1; plasmid p13P484A-3:NZ_CP019283.1/CP019283.1; plasmid p13P484A-4:NZ_CP019284.1/CP019284.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/951/735/GCA_002951735.1_ASM295173v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/951/735/GCF_002951735.1_ASM295173v1"
"Escherichia coli","NCTC9080","GCA_900636595.1","Complete",4.72274,50.8,"chromosome 1:NZ_LR134295.1/LR134295.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/595/GCA_900636595.1_42925_A01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/595/GCF_900636595.1_42925_A01"
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:-","RSK2980","GCA_000018625.1","Complete",4.6008,51.4,"chromosome:NC_010067.1/CP000880.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/625/GCA_000018625.1_ASM1862v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/625/GCF_000018625.1_ASM1862v1"
"Salmonella enterica subsp. enterica","NCTC7411","GCA_900635555.1","Complete",4.6007,52.1,"chromosome 1:NZ_LR134143.1/LR134143.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/555/GCA_900635555.1_31108_G01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/555/GCF_900635555.1_31108_G01"
"Escherichia coli","YSP8-1","GCA_004924255.1","Complete",5.11149,50.7476,"chromosome:NZ_CP037910.1/CP037910.1; plasmid pYSP8-1:NZ_CP037911.1/CP037911.1; plasmid pYSP8-1-CTX-M-14:NZ_CP037912.1/CP037912.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/924/255/GCA_004924255.1_ASM492425v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/924/255/GCF_004924255.1_ASM492425v1"
"Escherichia coli","H9Ecoli","GCA_003111785.1","Complete",4.96177,50.746,"chromosome:NZ_CP029180.1/CP029180.1; plasmid p1-H9:NZ_CP029181.1/CP029181.1; plasmid p3-H9:NZ_CP029182.1/CP029182.1; plasmid p4-H9:NZ_CP029183.1/CP029183.1; plasmid pMCR-H9:NZ_CP029184.1/CP029184.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/111/785/GCA_003111785.1_ASM311178v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/111/785/GCF_003111785.1_ASM311178v1"
"Salmonella enterica subsp. enterica serovar Paratyphi A","CMCC 50973","GCA_000818075.1","Complete",4.59902,52.2,"chromosome:NZ_CP009049.1/CP009049.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/818/075/GCA_000818075.1_ASM81807v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/818/075/GCF_000818075.1_ASM81807v1"
"Salmonella enterica subsp. arizonae serovar 63:g,z51:-","SA19981204","GCA_003324775.1","Complete",4.59835,51.5,"chromosome:NZ_CP029991.1/CP029991.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/324/775/GCA_003324775.1_ASM332477v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/324/775/GCF_003324775.1_ASM332477v1"
"Escherichia coli","26561","GCA_003033905.1","Complete",4.86076,50.4917,"chromosome:NZ_CP027118.1/CP027118.1; plasmid unnamed1:NZ_CP027119.1/CP027119.1; plasmid unnamed2:NZ_CP027120.1/CP027120.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/033/905/GCA_003033905.1_ASM303390v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/033/905/GCF_003033905.1_ASM303390v1"
"Escherichia coli","FMU073332","GCA_001888075.1","Complete",5.02283,50.4827,"chromosome:NZ_CP017844.1/CP017844.1; plasmid pEcoFMU07332d:NZ_CP017848.1/CP017848.1; plasmid pEcoFMU073332a:NZ_CP017845.1/CP017845.1; plasmid pEcoFMU073332b:NZ_CP017846.1/CP017846.1; plasmid pEcoFMU073332c:NZ_CP017847.1/CP017847.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/075/GCA_001888075.1_ASM188807v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/888/075/GCF_001888075.1_ASM188807v1"
"Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1904","USDA-ARS-USMARC-1904","GCA_002761375.1","Complete",4.59821,52.3,"chromosome:NZ_CP017972.1/CP017972.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/761/375/GCA_002761375.1_ASM276137v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/761/375/GCF_002761375.1_ASM276137v1"
"Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2009K-0792","CDC 2009K-0792","GCA_003054535.1","Complete",4.59737,52.3,"chromosome:NZ_CP020752.1/CP020752.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/054/535/GCA_003054535.1_ASM305453v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/054/535/GCF_003054535.1_ASM305453v1"
"Escherichia coli KLY","KLY","GCA_000725305.1","Complete",4.71854,50.7,"chromosome:NZ_CP008801.1/CP008801.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/305/GCA_000725305.1_ASM72530v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/305/GCF_000725305.1_ASM72530v1"
"Escherichia coli SE15","SE15","GCA_000010485.1","Complete",4.83968,50.7076,"chromosome:NC_013654.1/AP009378.1; plasmid pECSF1:NC_013655.1/AP009379.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/485/GCA_000010485.1_ASM1048v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/485/GCF_000010485.1_ASM1048v1"
"Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1900","USDA-ARS-USMARC-1900","GCA_002761335.1","Complete",4.59303,52.3,"chromosome:NZ_CP017970.1/CP017970.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/761/335/GCA_002761335.1_ASM276133v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/761/335/GCF_002761335.1_ASM276133v1"
"Salmonella enterica subsp. enterica serovar Minnesota str. ATCC 49284","ATCC 49284","GCA_000486855.2","Complete",4.59239,52.2,"chromosome:NZ_CP019184.1/CP019184.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/855/GCA_000486855.2_ASM48685v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/855/GCF_000486855.2_ASM48685v2"
"Escherichia coli","1223","GCA_002310715.1","Complete",4.95157,50.6316,"chromosome:NZ_CP023383.1/CP023383.1; plasmid p147:NZ_CP023384.1/CP023384.1; plasmid p87:NZ_CP023385.1/CP023385.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/310/715/GCA_002310715.1_ASM231071v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/310/715/GCF_002310715.1_ASM231071v1"
"Escherichia coli","NCYU-29-19","GCA_007998005.1","Complete",4.79322,50.8982,"chromosome:NZ_CP042606.1/CP042606.1; plasmid pNCYU-29-19-1_MCR1:NZ_CP042607.1/CP042607.1; plasmid pNCYU-29-19-2_MCR3:NZ_CP042608.1/CP042608.1; plasmid pNCYU-29-19-3:NZ_CP042609.1/CP042609.1; plasmid pNCYU-29-19-4:NZ_CP042610.1/CP042610.1; plasmid pNCYU-29-19-5:NZ_CP042611.1/CP042611.1; plasmid pNCYU-29-19-6:NZ_CP042612.1/CP042612.1; plasmid pNCYU-29-19-7:NZ_CP042613.1/CP042613.1; plasmid pNCYU-29-19-8:NZ_CP042614.1/CP042614.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/998/005/GCA_007998005.1_ASM799800v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/998/005/GCF_007998005.1_ASM799800v1"
"Salmonella enterica subsp. enterica serovar Montevideo","11TTUC-046","GCA_003641285.1","Complete",4.58822,52.4,"chromosome:NZ_CP032816.1/CP032816.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/641/285/GCA_003641285.1_ASM364128v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/641/285/GCF_003641285.1_ASM364128v1"
"Salmonella enterica subsp. enterica serovar Paratyphi A","FDAARGOS_368","GCA_002386165.1","Complete",4.588,52.2,"chromosome:NZ_CP023508.1/CP023508.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/386/165/GCA_002386165.1_ASM238616v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/386/165/GCF_002386165.1_ASM238616v1"
"Escherichia coli","D6","GCA_001900695.1","Complete",4.91085,50.9244,"chromosome:NZ_CP010148.1/CP010148.1; plasmid A:NZ_CP010149.1/CP010149.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/900/695/GCA_001900695.1_ASM190069v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/900/695/GCF_001900695.1_ASM190069v1"
"Escherichia coli","FDAARGOS_433","GCA_002589795.1","Complete",5.12186,50.5872,"chromosome:NZ_CP023899.1/CP023899.1; plasmid unnamed1:NZ_CP023903.1/CP023903.1; plasmid unnamed10:NZ_CP023901.1/CP023901.1; plasmid unnamed2:NZ_CP023895.1/CP023895.1; plasmid unnamed3:NZ_CP023896.1/CP023896.1; plasmid unnamed4:NZ_CP023897.1/CP023897.1; plasmid unnamed5:NZ_CP023905.1/CP023905.1; plasmid unnamed6:NZ_CP023900.1/CP023900.1; plasmid unnamed7:NZ_CP023898.1/CP023898.1; plasmid unnamed8:NZ_CP023904.1/CP023904.1; plasmid unnamed9:NZ_CP023902.1/CP023902.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/589/795/GCA_002589795.1_ASM258979v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/589/795/GCF_002589795.1_ASM258979v1"
"Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1901","USDA-ARS-USMARC-1901","GCA_002761355.1","Complete",4.5872,52.3,"chromosome:NZ_CP017971.1/CP017971.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/761/355/GCA_002761355.1_ASM276135v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/761/355/GCF_002761355.1_ASM276135v1"
"Salmonella enterica subsp. arizonae","SA20100345","GCA_002234855.1","Complete",4.58633,51.5,"chromosome:NZ_CP022504.1/CP022504.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/234/855/GCA_002234855.1_ASM223485v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/234/855/GCF_002234855.1_ASM223485v1"
"Escherichia coli","1919D3","GCA_009671105.1","Complete",5.02482,50.6664,"chromosome:NZ_CP046006.1/CP046006.1; plasmid p1919D3-1:NZ_CP046004.1/CP046004.1; plasmid p1919D3-2:NZ_CP046005.1/CP046005.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/671/105/GCA_009671105.1_ASM967110v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/671/105/GCF_009671105.1_ASM967110v1"
"Escherichia coli","Ecol_AZ147","GCA_002012105.1","Complete",5.09048,50.8824,"chromosome:NZ_CP018995.1/CP018995.1; plasmid pECAZ147_1:NZ_CP018994.1/CP018994.1; plasmid pECAZ147_2:NZ_CP018993.1/CP018993.1; plasmid pECAZ147_KPC:NZ_CP018992.1/CP018992.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/105/GCA_002012105.1_ASM201210v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/105/GCF_002012105.1_ASM201210v1"
"Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150","ATCC 9150","GCA_000011885.1","Complete",4.58523,52.2,"chromosome:NC_006511.1/CP000026.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/885/GCA_000011885.1_ASM1188v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/885/GCF_000011885.1_ASM1188v1"
"Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601","AKU12601","GCA_000026565.1","Complete",4.5818,52.2,"chromosome:NC_011147.1/FM200053.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/565/GCA_000026565.1_ASM2656v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/565/GCF_000026565.1_ASM2656v1"
"Escherichia coli O27:H7","B4103-1","GCA_002741475.1","Complete",4.95222,50.4504,"chromosome:NZ_CP024245.1/CP024245.1; plasmid unnamed1:NZ_CP024246.1/CP024246.1; plasmid unnamed2:NZ_CP024247.1/CP024247.1; plasmid unnamed3:NZ_CP024248.1/CP024248.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/741/475/GCA_002741475.1_ASM274147v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/741/475/GCF_002741475.1_ASM274147v1"
"Escherichia coli","KSC1031","GCA_002163935.1","Complete",4.85554,50.8245,"chromosome:NZ_CP019560.1/CP019560.1; plasmid unnamed:NZ_CP019561.1/CP019561.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/163/935/GCA_002163935.1_ASM216393v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/163/935/GCF_002163935.1_ASM216393v1"
"Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 11511","ATCC 11511","GCA_000486725.2","Complete",4.58069,52.2,"chromosome:NZ_CP019185.1/CP019185.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/725/GCA_000486725.2_ASM48672v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/725/GCF_000486725.2_ASM48672v2"
"Escherichia coli","KSC207","GCA_002163955.1","Complete",4.9845,50.4935,"chromosome:NZ_CP019558.1/CP019558.1; plasmid unnamed:NZ_CP019559.1/CP019559.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/163/955/GCA_002163955.1_ASM216395v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/163/955/GCF_002163955.1_ASM216395v1"
"Escherichia coli","NCTC9966","GCA_900474445.1","Complete",4.7053,50.9,"chromosome 1:NZ_LS483296.1/LS483296.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/445/GCA_900474445.1_39641_B02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/474/445/GCF_900474445.1_39641_B02"
"Salmonella enterica subsp. arizonae serovar 62:z36:- str. RKS2983","RKS2983","GCA_000756465.1","Complete",4.57485,51.5,"chromosome:NZ_CP006693.1/CP006693.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/465/GCA_000756465.1_ASM75646v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/465/GCF_000756465.1_ASM75646v1"
